date,slug,techTierSlug,c,perc
2024-07-10,kraken,advancedstarforge,42,0.038536529418511295
2024-07-10,locust,advancedstarforge,153,0.1403830714531483
2024-07-10,mammoth,starforge,562,0.5156554650762702
2024-07-10,missilebot,core,120,0.11010436976717514
2024-07-10,mortar,foundry,334,0.30645716251863747
2024-07-10,predator,advancedfoundry,117,0.10735176052299576
2024-07-10,raider,foundry,6,0.005505218488358757
2024-07-10,recall,core,287,0.26333295102649384
2024-07-10,recallhunter,core,159,0.14588828994150704
2024-07-10,recallshocker,foundry,32,0.029361165271246704
2024-07-10,scorpion,core,472,0.4330771877508889
2024-07-10,shocker,foundry,355,0.3257254272278931
2024-07-10,sniper,advancedfoundry,225,0.2064456933134534
2024-07-10,stinger,starforge,160,0.14680582635623352
2024-07-10,swiftshocker,foundry,68,0.06239247620139924
2024-07-10,turret,foundry,9,0.008257827732538135
2024-07-10,valkyrie,advancedstarforge,462,0.4239018236036243
2024-07-10,wasp,core,180,0.1651565546507627
2024-07-11,advancedblink,advancedfoundry,290,0.23387096774193547
2024-07-11,advancedbot,advancedstarforge,106,0.08548387096774193
2024-07-11,advancedrecall,starforge,145,0.11693548387096774
2024-07-11,airship,starforge,485,0.3911290322580645
2024-07-11,artillery,advancedstarforge,60,0.04838709677419355
2024-07-11,assaultbot,advancedfoundry,76,0.06129032258064516
2024-07-11,ballista,foundry,1,0.0008064516129032258
2024-07-11,beetle,core,7,0.00564516129032258
2024-07-11,behemoth,advancedfoundry,255,0.2056451612903226
2024-07-11,blink,core,125,0.10080645161290322
2024-07-11,blinkhunter,core,608,0.49032258064516127
2024-07-11,bomber,foundry,55,0.04435483870967742
2024-07-11,bulwark,advancedstarforge,65,0.05241935483870968
2024-07-11,butterfly,starforge,155,0.125
2024-07-11,crab,core,45,0.036290322580645164
2024-07-11,crusader,foundry,309,0.24919354838709679
2024-07-11,destroyer,foundry,461,0.3717741935483871
2024-07-11,dragonfly,starforge,415,0.3346774193548387
2024-07-11,falcon,starforge,412,0.33225806451612905
2024-07-11,gunbot,core,92,0.07419354838709677
2024-07-11,heavyballista,advancedfoundry,414,0.3338709677419355
2024-07-11,heavyhunter,foundry,174,0.1403225806451613
2024-07-11,heavyturret,starforge,28,0.02258064516129032
2024-07-11,hornet,core,164,0.13225806451612904
2024-07-11,hunter,core,6,0.004838709677419355
2024-07-11,katbus,advancedstarforge,284,0.22903225806451613
2024-07-11,kingcrab,foundry,357,0.2879032258064516
2024-07-11,kraken,advancedstarforge,50,0.04032258064516129
2024-07-11,locust,advancedstarforge,251,0.20241935483870968
2024-07-11,mammoth,starforge,552,0.44516129032258067
2024-07-11,missilebot,core,106,0.08548387096774193
2024-07-11,mortar,foundry,383,0.3088709677419355
